clusterName,NSForest_markers,f_score,onTarget,precision,recall
T Cell,['ENSG00000168685'],0.7162076606521051,1.0,0.7869565217391304,0.5267753201396973
Renin-positive Juxtaglomerular Granular Cell,"['ENSG00000143839', 'ENSG00000140538']",0.7746478873239436,0.6557008624076843,0.7857142857142857,0.7333333333333333
Schwann Cell / Neural,['ENSG00000179915'],0.8992805755395683,1.0,0.9615384615384616,0.7142857142857143
Adaptive / Maladaptive / Repairing Fibroblast,"['ENSG00000077942', 'ENSG00000185070']",0.4686226568867155,0.341116189956665,0.572139303482587,0.2718676122931442
Cycling Myofibroblast,"['ENSG00000136492', 'ENSG00000123219', 'ENSG00000102384']",0.2564102564102564,1.0,0.2666666666666666,0.2222222222222222
Myofibroblast,"['ENSG00000154553', 'ENSG00000198947']",0.4145408163265306,0.6748375296592712,0.5963302752293578,0.1867816091954023
Fibroblast,"['ENSG00000112936', 'ENSG00000172260']",0.6459987782529016,0.2958110570907593,0.7224594363791631,0.453862660944206
Mesangial Cell,"['ENSG00000154864', 'ENSG00000169855']",0.4415584415584415,0.8526897430419922,0.8717948717948718,0.148471615720524
Vascular Smooth Muscle Cell / Pericyte,"['ENSG00000138031', 'ENSG00000074181']",0.4471424341131181,0.312990128993988,0.6188524590163934,0.2119298245614035
Vascular Smooth Muscle Cell,"['ENSG00000169282', 'ENSG00000122367']",0.5913113435237329,1.0,0.7819148936170213,0.2993890020366598
Degenerative Podocyte,['ENSG00000166033'],0.6449468085106383,0.6806190013885498,0.6928571428571428,0.5052083333333334
Degenerative Cortical Thick Ascending Limb Cell,"['ENSG00000197249', 'ENSG00000124107']",0.4496951219512195,0.3046681582927704,0.7564102564102564,0.1715116279069767
Degenerative Endothelial Cell,"['ENSG00000142089', 'ENSG00000184831', 'ENSG00000150991']",0.2105263157894736,0.1453001499176025,0.2666666666666666,0.1142857142857142
Degenerative Medullary Fibroblast,"['ENSG00000049323', 'ENSG00000085662', 'ENSG00000167580']",0.3515850144092219,0.1661163121461868,0.4518518518518518,0.1862595419847328
Natural Killer Cell / Natural Killer T Cell,"['ENSG00000105374', 'ENSG00000275302']",0.7900492072170585,1.0,0.9174603174603174,0.507908611599297
Cycling Natural Killer Cell / Natural Killer T Cell,"['ENSG00000164104', 'ENSG00000175063']",0.6944444444444444,1.0,1.0,0.3125
Degenerative Fibroblast,['ENSG00000102265'],0.4819277108433735,1.0,0.8421052631578947,0.1777777777777777
Degenerative Vascular Smooth Muscle Cell,"['ENSG00000198467', 'ENSG00000198523']",0.8599088838268792,1.0,0.967948717948718,0.594488188976378
Degenerative Distal Convoluted Tubule Cell,"['ENSG00000263146', 'ENSG00000113889']",0.6957443051386191,0.6391568183898926,0.7635658914728682,0.5133550488599349
Degenerative Cortical Intercalated Cell Type A,"['ENSG00000130208', 'ENSG00000151418', 'ENSG00000131981']",0.5549915397631133,0.4668839871883392,0.681912681912682,0.3181377303588749
Neutrophil,"['ENSG00000143546', 'ENSG00000163220']",0.7883817427385892,1.0,1.0,0.4269662921348314
Non-classical Monocyte,['ENSG00000204482'],0.5745062836624776,1.0,0.810126582278481,0.2655601659751037
Monocyte-derived Cell,['ENSG00000204287'],0.5212922173274597,0.2699339091777801,0.8385826771653543,0.2074001947419669
M2 Macrophage,"['ENSG00000260314', 'ENSG00000177575']",0.7264124686891177,1.0,0.9046793760831888,0.4062256809338521
Cycling Mononuclear Phagocyte,"['ENSG00000048052', 'ENSG00000135905']",0.0980392156862745,0.2510620355606079,1.0,0.0212765957446808
Classical Dendritic Cell,"['ENSG00000276600', 'ENSG00000112149']",0.5982905982905983,1.0,0.9333333333333332,0.2456140350877192
Plasmacytoid Dendritic Cell,['ENSG00000267337'],0.7831325301204819,1.0,1.0,0.4193548387096774
Mast Cell,"['ENSG00000163751', 'ENSG00000185052']",0.8012820512820513,1.0,1.0,0.4464285714285714
Plasma Cell,"['ENSG00000143297', 'ENSG00000255733']",0.5952380952380952,1.0,0.7407407407407407,0.3333333333333333
B Cell,['ENSG00000153064'],0.7382039573820396,1.0,0.8699551569506726,0.4597156398104265
Medullary Fibroblast,"['ENSG00000079931', 'ENSG00000067715']",0.8090280023281381,1.0,0.9016216216216216,0.5734586293834517
Ascending Vasa Recta Endothelial Cell,"['ENSG00000150625', 'ENSG00000104368']",0.7514792899408284,0.4954919219017029,0.8472314876584389,0.5175224123879381
Degenerative Peritubular Capilary Endothelial Cell,"['ENSG00000102755', 'ENSG00000184005', 'ENSG00000211445']",0.1666666666666666,0.1102624908089637,0.8333333333333334,0.0396825396825396
Cycling Endothelial Cell,"['ENSG00000113810', 'ENSG00000165304', 'ENSG00000174501']",0.4385964912280701,0.8212302923202515,0.6666666666666666,0.1851851851851851
Lymphatic Endothelial Cell,['ENSG00000138722'],0.7101167315175098,1.0,0.7604166666666666,0.5615384615384615
Descending Vasa Recta Endothelial Cell,"['ENSG00000099260', 'ENSG00000049192']",0.6658141517476556,0.5232245922088623,0.7702169625246549,0.4317302377003869
Afferent / Efferent Arteriole Endothelial Cell,"['ENSG00000090006', 'ENSG00000184916']",0.5209187858900738,1.0,0.7696969696969697,0.2271914132379248
Glomerular Capillary Endothelial Cell,"['ENSG00000167941', 'ENSG00000013016']",0.7478097622027534,1.0,0.9663072776280324,0.3926615553121577
Podocyte,"['ENSG00000139304', 'ENSG00000151490']",0.9437621202327084,0.8099000453948975,0.9787709497206704,0.825636192271442
Distal Convoluted Tubule Cell Type 2,"['ENSG00000082397', 'ENSG00000179399', 'ENSG00000070915', 'ENSG00000182168']",0.2323360916613621,0.273725688457489,0.2417218543046357,0.2011019283746556
Distal Convoluted Tubule Cell Type 1,"['ENSG00000242029', 'ENSG00000119121']",0.6562714187799863,0.3984864056110382,0.8831667947732513,0.3236619718309859
Cycling Distal Convoluted Tubule Cell,"['ENSG00000066279', 'ENSG00000124562']",0.5,1.0,1.0,0.1666666666666666
Macula Densa Cell,"['ENSG00000139220', 'ENSG00000089250']",0.4788627010849233,0.904360055923462,0.6881720430107527,0.2160337552742616
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,"['ENSG00000115221', 'ENSG00000036828']",0.5144328662115223,0.2161203324794769,0.6144492131616596,0.3115705476967718
Medullary Thick Ascending Limb Cell,"['ENSG00000171724', 'ENSG00000242029']",0.6886169386169386,0.7493835687637329,0.8336272780717225,0.4060710194730813
Degenerative Medullary Thick Ascending Limb Cell,"['ENSG00000169344', 'ENSG00000074803', 'ENSG00000166165', 'ENSG00000228716', 'ENSG00000089220']",0.2781173594132029,0.0969541743397712,0.3939393939393939,0.1278089887640449
Degenerative Descending Thin Limb Cell Type 3,"['ENSG00000172461', 'ENSG00000115641']",0.5310531053105311,0.8883397579193115,0.6629213483146067,0.2957393483709273
Descending Thin Limb Cell Type 1,"['ENSG00000150471', 'ENSG00000007062']",0.5609607783520827,0.262670636177063,0.7178988326848249,0.2992700729927007
Descending Thin Limb Cell Type 2,"['ENSG00000156687', 'ENSG00000229981']",0.5447390223695112,0.7623932361602783,0.6575,0.3230958230958231
Parietal Epithelial Cell,"['ENSG00000000971', 'ENSG00000229981']",0.523598820058997,0.6163412928581238,0.9793103448275862,0.1829896907216494
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,"['ENSG00000284377', 'ENSG00000170579']",0.6183614350441952,0.4157160222530365,0.8767772511848341,0.2837906937105846
Proximal Tubule Epithelial Cell Segment 3,"['ENSG00000249252', 'ENSG00000185046', 'ENSG00000107611']",0.4815450643776824,0.4674471318721771,0.6058315334773218,0.2644978783592644
Degenerative Proximal Tubule Epithelial Cell,"['ENSG00000197375', 'ENSG00000158296']",0.5052887908073967,0.4266594052314758,0.5682498930252461,0.3501186395992618
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,"['ENSG00000250799', 'ENSG00000171759']",0.6192490902097695,0.7940430641174316,0.6631812420785805,0.489533387907847
Papillary Tip Epithelial Cell,"['ENSG00000176153', 'ENSG00000073282']",0.6872586872586872,1.0,0.7946428571428571,0.4461152882205513
Degenerative Inner Medullary Collecting Duct Cell,"['ENSG00000132874', 'ENSG00000137673', 'ENSG00000150201']",0.5358527131782945,0.3236858248710632,0.6513545347467609,0.3134920634920635
Degenerative Ascending Thin Limb Cell,"['ENSG00000109610', 'ENSG00000140600', 'ENSG00000085662']",0.5500342700479781,0.1797394752502441,0.7024070021881839,0.2944954128440367
Descending Thin Limb Cell Type 3,"['ENSG00000249776', 'ENSG00000188883']",0.5563524590163934,0.7003486752510071,0.6219931271477663,0.3912103746397694
Ascending Thin Limb Cell,"['ENSG00000064787', 'ENSG00000140600']",0.6219806763285024,0.7127002477645874,0.6518987341772152,0.5255102040816326
Degenerative Connecting Tubule Cell,"['ENSG00000104327', 'ENSG00000136531', 'ENSG00000101443']",0.1676829268292683,0.1083071008324623,0.2933333333333333,0.0617977528089887
Degenerative Outer Medullary Collecting Duct Principal Cell,"['ENSG00000160951', 'ENSG00000165272', 'ENSG00000115457']",0.4743232987604351,0.2427110821008682,0.5990415335463258,0.2587991718426501
Transitional Principal-Intercalated Cell,"['ENSG00000147606', 'ENSG00000166828', 'ENSG00000157404', 'ENSG00000150201']",0.2824133504492939,0.1403472423553466,0.2875816993464052,0.2634730538922156
Connecting Tubule Principal Cell,"['ENSG00000159167', 'ENSG00000104327']",0.5511288180610889,0.7183069586753845,0.6838311019567456,0.3102803738317757
Cortical Thick Ascending Limb Cell,"['ENSG00000113946', 'ENSG00000169344']",0.7407174323473883,0.6396036148071289,0.8498194945848375,0.4893970893970894
Cycling Proximal Tubule Epithelial Cell,"['ENSG00000139734', 'ENSG00000109685', 'ENSG00000146555']",0.2448979591836734,0.160624697804451,0.4615384615384615,0.0851063829787234
Inner Medullary Collecting Duct Cell,"['ENSG00000249853', 'ENSG00000267134']",0.7505773672055427,0.5840473771095276,0.7558139534883721,0.7303370786516854
Outer Medullary Collecting Duct Principal Cell,"['ENSG00000254789', 'ENSG00000160111']",0.5169722980881779,0.7373721599578857,0.6294536817102138,0.3014789533560865
Cycling Connecting Tubule Cell,"['ENSG00000197372', 'ENSG00000092140', 'ENSG00000178445']",0.3333333333333333,1.0,1.0,0.0909090909090909
Cortical Collecting Duct Principal Cell,"['ENSG00000182752', 'ENSG00000259905']",0.5710491367861886,0.3875044584274292,0.6798418972332015,0.3481781376518219
Outer Medullary Collecting Duct Intercalated Cell Type A,"['ENSG00000233215', 'ENSG00000106302']",0.7174616006467259,1.0,0.8942065491183879,0.4006772009029345
Connecting Tubule Intercalated Cell Type A,"['ENSG00000145147', 'ENSG00000109684']",0.025852163921869,0.1885246932506561,0.0211267605633802,0.2454545454545454
Cortical Collecting Duct Intercalated Cell Type A,"['ENSG00000144227', 'ENSG00000185274']",0.6984835895305359,0.6931246519088745,0.8796599084368869,0.3829726651480638
Intercalated Cell Type B,['ENSG00000113073'],0.7153096330275229,0.5004302263259888,0.8400673400673401,0.4487410071942446
Connecting Tubule Cell,"['ENSG00000251504', 'ENSG00000136531']",0.4894333488156061,0.5604076385498047,0.5949188426252646,0.2863451086956521
